Name;Number of tweets;;;Number of tweets;Number of persons who have tweeted this many times
@UnRapporteur1;2;;;;
@UseLogicPlease1;2;;;;
@VP;2;;;;
@VitalikButerin;2;;;;
@VoiceHQ;2;;;;
@VootSelect;2;;;;
@WGNMorningNews;2;;;;
@WGNNews;2;;;;
@WHurensohn;2;;;;
@WPLGLocal10;2;;;;
@WTA;2;;;;
@WeatheReportNFT;2;;;;
@WediSpaghetti;2;;;;
@WestonJK;2;;;;
@WidnesRufc;2;;;;
@_M__D__D_;2;;;;
@__KalypsoRising;2;;;;
@_david_ho_;2;;;;
@_mamadeb;2;;;;
@aSinister;2;;;;
@abrokenprince;2;;;;
@adamrank;2;;;;
@adrienneelrod;2;;;;
@aeberman12;2;;;;
@ahrehead;2;;;;
@antonioguterres;2;;;;
@approject;2;;;;
@arcadiagt5;2;;;;
@awkward_1110;2;;;;
@axios;2;;;;
@azsunsetting;2;;;;
@biffmack;2;;;;
@billmaher;2;;;;
@billmckibben;2;;;;
@bittern36921585;2;;;;
@bmbrigham;2;;;;
@briantcairns;2;;;;
@carlquintanilla;2;;;;
@carlsmythe;2;;;;
@chan_leeze;2;;;;
@chaser;2;;;;
@chibikonatsu;2;;;;
@chrislhayes;2;;;;
@chrisluxonmp;2;;;;
@cl1ntonserver;2;;;;
@clairlemon;2;;;;
@clif_high;2;;;;
@clownworld_bobo;2;;;;
@cnnbrk;2;;;;
@colinbrunton;2;;;;
@crabb_vicki;2;;;;
@cspanwj;2;;;;
@cybrtrkguy;2;;;;
@cydney0071;2;;;;
@d1Vinman;2;;;;
@d_e_mol;2;;;;
@danjcyr;2;;;;
@davejackson1954;2;;;;
@davidbroadley;2;;;;
@dbirch214;2;;;;
@deNutrients;2;;;;
@devbrett_com;2;;;;
@dhlovelife;2;;;;
@dick_zinno;2;;;;
@diederikdk;2;;;;
@dirk_fasshauer;2;;;;
@docstardust;2;;;;
@dodi_rains;2;;;;
@douglasritz;2;;;;
@drdeblk;2;;;;
@drkerrynphelps;2;;;;
@drolkrad_ehT;2;;;;
@durandundee7105;2;;;;
@ecoB85;2;;;;
@eibenfluch;2;;;;
@engineers_feed;2;;;;
@erinotoole;2;;;;
@esa;2;;;;
@fab4screamie;2;;;;
@farosarg;2;;;;
@fema;2;;;;
@flySFO;2;;;;
@footofwrath;2;;;;
@freddie07068768;2;;;;
@garyblack00;2;;;;
@gaywonk;2;;;;
@geostylegeo;2;;;;
@ghoppe;2;;;;
@gobantwo2;2;;;;
@hang10wannabe;2;;;;
@hardtimehardta1;2;;;;
@i_am_joli_anne;2;;;;
@i_desi_surya;2;;;;
@ianbrow97534170;2;;;;
@indyymac;2;;;;
@ivyjofreeman;2;;;;
@jadengis;2;;;;
@jdcmedlock;2;;;;
@jdmnd4;2;;;;
@jeffcthomson;2;;;;
@jeffschlueter1;2;;;;
@jessesingal;2;;;;
@jonasgahrstore;2;;;;
@jpgcrowley;2;;;;
@jsomon;2;;;;
@justvoot;2;;;;
@kailaswild;2;;;;
@katieorourke78;2;;;;
@kenpaxtonAG;2;;;;
@kevpluck;2;;;;
@kimmyifuplease;2;;;;
@konrad_muzyka;2;;;;
@kpomerleau;2;;;;
@liam081963;2;;;;
@lufthansa;2;;;;
@lutton_tracey;2;;;;
@mama_hipster;2;;;;
@marcorubio;2;;;;
@margie_moo;2;;;;
@markp1950;2;;;;
@martinmbauer;2;;;;
@maryellenonetsy;2;;;;
@medwoman1;2;;;;
@melissa94307909;2;;;;
@michaelshure;2;;;;
@michellmybell1;2;;;;
@mike_maric;2;;;;
@mikeslastword;2;;;;
@mollytaft;2;;;;
@monemymitch;2;;;;
@moonrakin;2;;;;
@msabouri;2;;;;
@musktastic;2;;;;
@nancymhet;2;;;;
@nbc6;2;;;;
@neutrino78x;2;;;;
@nickhedley;2;;;;
@nik0720;2;;;;
@nika_britt;2;;;;
@nj1015;2;;;;
@nzherald;2;;;;
@originalnameM;2;;;;
@oxmartinschool;2;;;;
@ozzorro1;2;;;;
@palazzo214;2;;;;
@pete62jackson;2;;;;
@plindseyusa;2;;;;
@pokoza11;2;;;;
@polgara_toads;2;;;;
@policing_uk;2;;;;
@politico;2;;;;
@ponycar06;2;;;;
@priscian;2;;;;
@qualmsgans;2;;;;
@quigley_jesse;2;;;;
@realDailyWire;2;;;;
@regeneration_in;2;;;;
@ret_ward;2;;;;
@ringothebaptist;2;;;;
@riskparty63;2;;;;
@roelfjans;2;;;;
@ruthless5k;2;;;;
@savetheplaneto3;2;;;;
@sciam;2;;;;
@selltheworld;2;;;;
@shields_rex;2;;;;
@skmusyoka;2;;;;
@small1ldy1;2;;;;
@smh_lori;2;;;;
@smith_bahn;2;;;;
@snorman1776;2;;;;
@some_soaper;2;;;;
@spann;2;;;;
@spanna65;2;;;;
@spock627corfu;2;;;;
@stevenmosher;2;;;;
@sueytonius;2;;;;
@sundog723;2;;;;
@surreywillis;2;;;;
@swcrisis;2;;;;
@t_f_bow;2;;;;
@tan123;2;;;;
@tatyana_md_phd;2;;;;
@tchisonai;2;;;;
@telohno;2;;;;
@tenebra99;2;;;;
@tessakhan;2;;;;
@textranquilo;2;;;;
@theJeremyVine;2;;;;
@thecandaceshow;2;;;;
@themiwi;2;;;;
@thewibblemovem1;2;;;;
@tigerzntl;2;;;;
@timi_RM;2;;;;
@timmal510;2;;;;
@tropicalupdate;2;;;;
@tvvn3108;2;;;;
@utlaw92;2;;;;
@uzzell_cindy;2;;;;
@verbalese;2;;;;
@wanderer_jasnah;2;;;;
@weberj502;2;;;;
@wendobi;2;;;;
