Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@DamianWallace11;1;;;
@Damo__73_;1;;;
@DanCrenshawTX;1;;;
@DanaMetcalfe5;1;;;
@DangThatJoe;4;;;
@DangerMcAwesom1;4;;;
@DaniTrump2020;1;;;
@Daniel55518262;1;;;
@Daniel_Grigg;1;;;
@DanielleBreezy;1;;;
@Danny62461886;1;;;
@Dano929a;1;;;
@DariusPridgen;20;;;
@DarkBrandonJr;1;;;
@DarkPouncer;3;;;
@Darling100;1;;;
@DarthPutinKGB;1;;;
@Data79504085;1;;;
@DaveB22664400;1;;;
@DaveOx13;1;;;
@DaveWRose;2;;;
@Davethe25219352;2;;;
@David11359148;3;;;
@DavidAsmanfox;1;;;
@DavidBr10466239;1;;;
@DavidGHFrost;1;;;
@DavidLeeShon;1;;;
@DavidLimbaugh;4;;;
@DavidMusiker;1;;;
@DavidSacks;1;;;
@David_Challen;1;;;
@Davidmetroland;3;;;
@Davincij15;1;;;
@DawnTJ90;3;;;
@DawoodMirzayi;1;;;
@Dawson94187549;1;;;
@Dcoronata;1;;;
@DeFiKyeth;1;;;
@Debber66;1;;;
@DegenerateTBone;2;;;
@Deluxe1of1;1;;;
@DenisDaly;1;;;
@DeniseRileyPWFT;1;;;
@DennD68;1;;;
@DensityWave;1;;;
@DerMellitz;1;;;
@DeromePhil;1;;;
@DetroitRedWings;1;;;
@Dev_Fadnavis;1;;;
@Devin_Heroux;1;;;
@DewaltJackson;1;;;
@Dexerto;2;;;
@DiB1017;1;;;
@DiabolicalDan;1;;;
@DianaCialino;1;;;
@DianeLily32;1;;;
@DickDelingpole;1;;;
@DiedSuddenly_;4;;;
@DigiMalice;3;;;
@DilipShah_;3;;;
@DillonOX;2;;;
@DineshDSouza;2;;;
@DirtybirdTerre1;1;;;
@DiscePuer;1;;;
@Djowieeee;1;;;
@DocSnow1;6;;;
@DoctorHenryCT;1;;;
@DodgeIntercept1;1;;;
@Doge_Turd;1;;;
@DohaDebates;2;;;
@Dominiquetaegon;1;;;
@DonaldJTrumpJr;1;;;
@DonnaLeist;1;;;
@DonnaMcNab1;1;;;
@Dora77562818;1;;;
@Dover19801;1;;;
@DrAseemMalhotra;2;;;
@DrBrianKeating;1;;;
@DrEliDavid;5;;;
@DrFrancesRyan;1;;;
@DrJBhattacharya;1;;;
@DrJamesOlsson;1;;;
@DrKatEpi;1;;;
@DrLiMengYAN1;1;;;
@DrLizaMD;1;;;
@DrLoupis;1;;;
@DrMikeSmithPR;1;;;
