Date,User,Tweet
2022-09-30 23:18:40+00:00,SanFranciscoLP,"@HelloMoto00 @JenSiebelNewsom @NoLieWithBTC Sure, repairs cost money, but let taxpayers spend that money directly themselves rather than taxing them and losing a big chunk of the funds through waste and overhead.

If people believe major global warming imminent, why do they keep buying property in low-lying coastal areas?"
2022-09-30 23:18:40+00:00,imp_2000,@NickAdamsinUSA Imagine using a natural disaster leaving thousands+ stranded and in ruin just so you can make a dumb point about electric cars.
2022-09-30 23:18:18+00:00,tooltymfan07,"@jax_joint @GovRonDeSantis @RonDeSantisFL @MyFDOT Sadly, ANY place can have weather issues. Remember it’s all global warming causing the problem"
2022-09-30 23:17:54+00:00,ECOTerminator,"You look ugly today. If each one of us does our bit, we will be helping to keep global warming from harming our countries. You make me sick"
2022-09-30 23:17:00+00:00,faermuse,"venus, planet of love, was destroyed by global warming. did its people want too much too? did its people want too much?"
2022-09-30 23:16:38+00:00,edmondzedo,@Rogue_Jedi_Theo @bennyjohnson Global warming alarmist: I learned to question what people tell me.
2022-09-30 23:16:33+00:00,roxy_wodka,"imagine a world where Milo wasn't invented

global warming and forever chemicals don't seem so bad now, do they"
2022-09-30 23:16:01+00:00,WTFK2017,"Bottom line:  Which party is saying global warming /climate change is a hoax? Which party loves big oil/gas ? Which party is supporting wind/solar to save our planet.  ...... your choice in 22.
#dems #gop #desantis (don't help NJ)  #RUBIO
#VoteBlueIn2022"
2022-09-30 23:15:59+00:00,theprotonguy,@MikeSington If we told you we used global warming to do it you wouldn't believe us.
2022-09-30 23:15:49+00:00,Ayku_7,This hurricane tropical storm thing had me feeling like natural disaster film to bollywood historical drama to horror film and honestly its great
2022-09-30 23:15:10+00:00,ToddWal24264100,@davidhogg111 Only a trash bag human being would make a natural disaster a time to bring up a political agenda.
2022-09-30 23:14:56+00:00,sftbllmommync,@davidhogg111 How can you talk so much and know so little? Two different circumstances. Get your political BS off a natural disaster.
2022-09-30 23:14:30+00:00,mike_maric,"@Shadowzerg @LuboTalks @Tom575935021 @IanDJbrown2 @johnson_wrjohn1 @IngersolRobert @MikeDel21893959 @KeillerDon @ocschwar @freddie07068768 @JafSupO @MartinBrampton @BlasphemousBan1 @WernerReinhard5 @BrknMan @Stephen90045069 @weberj502 @ianbrow97534170 @Sasha67Oz @Royalacresrod @markp1950 @MingleDandy @cjtjgeol @OffGridTech_net @JohnPisulaMBA @Tark4Real @nick_advice @nellslad @LorraineAllans1 @GreyTash @2still_learning @TremmelSteve @rfeynmansBongos @CCross1776 @C0RRECT1ON @JsharkJill @IanHugh07940666 @LofayPeter @Tcaddy5 @Galileo62303273 @TWTThisIsNow @ben8beans @ina_warrior @DawnTJ90 @jasoncloninger @EasySimon @MusicFrom90 @HenrikHindby Let’s look at an historical example - the Jurassic period. Why no tipping point? No runaway Global Warming? Why could animals and plants grow so large? There should have been massive hurricanes, flooding and drought. But instead, it was a meteor that killed them off."
2022-09-30 23:14:25+00:00,Average13816678,"@ClimateHuman @jorymicah Devils advocate, but what if global warming is the only thing that will save us from the next ice age"
2022-09-30 23:13:24+00:00,JayredUsblueCan,"@CTVNews So taken out of context and global warming does not change how hurricanes work. They said that August was going to see a record amount of Hurricains for Florida, they didn't get any. Now the report is that oh the season shifted and it will probably change again"
2022-09-30 23:13:23+00:00,ACF74,"@FoxNews You know, I definitely agree that he should have supported aid for the victims of Sandy.  And I'm conservative.  But when a part of the country goes through a natural disaster, you help them, plain and simple..."
2022-09-30 23:13:18+00:00,bteat65,@FoxNews Why are Republicans always on the wrong side of history? They said global warming does not exist. Then silent as higher Gulf of Mexico water temperatures produce massive storms.
2022-09-30 23:11:24+00:00,Tomatxmtb,"@GeorgeTakei @SecretaryPete But the democrats refuse to be outdone. They also have fear (fake global warming, harassing opposition party with arrests and confiscating), and division (bail reform, trans rights, abortion), plus border crisis, Ukraine, China, Russia, Afghanistan, Iran, infrastructure scam…"
2022-09-30 23:11:12+00:00,inondehfsusld,"@RexChapman You have heard about the mutant society that can control weather and other things like that?  It couldn't be global warming, that's fake news."
2022-09-30 23:11:08+00:00,BrazonDaniela,No because global warming is actually so fucking scary and what can I do about it ….. 😐
2022-09-30 23:11:00+00:00,ZedZoran,@PhilGould15 Didn’t we bail out those same banks when they made dud investments back in 2008?  They make dud investments all the time and the tax payer foots the bill for it every time.  Not really an indicator of whether global warming is true not.
2022-09-30 23:10:43+00:00,EPtheDreamer,@NickAdamsinUSA Imagine thinking global warming and sea levels rising aren’t involved with natural disasters. Weirdo
2022-09-30 23:10:13+00:00,brewnoser,"@KonstantinKisin @natbaker And a push to economies less dependent on fossil fuels.  Heck, this madman might just slow global warming."
2022-09-30 23:10:04+00:00,scottspeakfacts,@staceyabrams What the heck is a climate disaster??? You mean a “natural “ disaster? Like even earthquakes?
2022-09-30 23:09:30+00:00,BullSemi,@RaysGalaxy @Nicoleg425 @ClayTravis @clayandbuck Presidents don't immediately go to site of a natural disaster. The presidents arriving would cause more trouble and disruption because he travels with a large security detail as everyone has clearly seen. He obviously will be going to FL soon though. Stop politicizing a disaster.
2022-09-30 23:09:24+00:00,MilanDiana8,@JackPosobiec Nice playing the race card even with a natural disaster like a hurricane. I hope everyone can see where our country is as far as reverse racism is definitely a real thing and I have experienced this at my work place.
2022-09-30 23:08:47+00:00,PennyLynn3,@gd6193 @davidhogg111 That’s totally wrong.  Republicans want to help others and their selflessness is apparent as it is with Democrats.  But when government gets involved it must follow the Constitution. In a natural disaster Americans should be protected.
2022-09-30 23:08:19+00:00,ROSABOT45,lucky for you i've got enough chill to stop global warming
2022-09-30 23:07:14+00:00,seven7clear,"@Maybegoogleit @NIJackal @TPostMillennial @RealCandaceO You clearly arent listening to the climate scientists. Just the ones the media promotes. There is little consensus on human enhanced global warming. There are many trends, such as increasing ice in the Arctic that would contradict the specific narrative the media promotes."
2022-09-30 23:06:55+00:00,EricBoutwell1,"I’ve watched Bill Nye the science guy for years. I f he says we’re fucked, I believe him. One report I saw on the news a couple of years ago said that the peninsula of Florida is going to be under water by 2030. Republicans have to accept global warming as fact. NOW."
2022-09-30 23:06:45+00:00,EdlyTampa,@TB_Times This is a BS global warming push as if hurricanes didn't exist prior.
2022-09-30 23:06:27+00:00,mandaza77,@NickAdamsinUSA The majority of cars (regular gas/electric/hybrid) in Florida were DESTROYED because of climate change caused by global warming. MAYBE if there were more electric cars storms like ian wouldn’t happen and you wouldn’t have to make asinine statements like this.
2022-09-30 23:06:00+00:00,hawkeyekirk,"@BYotty3 You think I’m an idiot apparently. First, stop using the words ‘global warming’. If you refer to whatever you think is going on climate change makes more sense. Second droughts have always happened. Move on."
2022-09-30 23:05:42+00:00,EarlyLifealert,"@PoliticsOutHere @AndrewRomeyn @newsmax How do you propose we offer infinite resources to infinite migrants? Without exacerbating global warming, mind you."
2022-09-30 23:04:46+00:00,jacobringenwald,"@paulf831 @BadKarma156 @FoxNews It is a settled issue, I just can't say most because there's always going to be a few crackpot scientists that disagree. But 99% of climate scientists agree that global warming is real"
2022-09-30 23:04:29+00:00,SamuelP04370439,"The Fake corrupt media and democrats cry out ""THE SKY IS FALLING"" over natural Disaster in Florida, blaming ""CLIMATE CHANGE"" they are such big fools."
2022-09-30 23:04:23+00:00,gianticecube,Global warming breathes
2022-09-30 23:03:32+00:00,leslsenior,"Katie Phang (in for Ari Melber) @KatiePhang
THANK YOU for the great interview w/ Bill Nye @BillNye 
Not only was it really informative about the causes/effects of Global Warming on the intensity of Hurricanes, it also really stuck it to that lying and dangerous SOB Tucker Carlson"
2022-09-30 23:02:54+00:00,CPC_A1,"@EndWokeness @VP You are a racist and a disappointment. To even bring up equity after a natural disaster, and how resources will be allocated, is pathetic and disgusting. It further again shows your inability to be a leader and that you truly do not care about all people. Very Sad."
2022-09-30 23:02:45+00:00,unclebarkycom,"Red or blue state be damned. The people of Florida have been heroic in the face of a horrendous natural disaster. Recriminations and politics can set in later. But for now, and at least from me, applause, applause to the responders, the homeless, the Good Samaritans, etc."
